Method,Order,Puzzle_length,Solution_length,Visited_states,Calculated_states,Max_deep,Calculating_time
bfs,DRLU,4,4,27,58,4,0.858
bfs,DRUL,4,4,27,58,4,0.833
bfs,LUDR,4,4,48,102,4,1.469
bfs,LURD,4,4,54,117,4,1.611
bfs,RDLU,4,4,33,73,4,1.041
bfs,RDUL,4,4,33,73,4,1.039
bfs,ULDR,4,4,48,102,4,1.401
bfs,ULRD,4,4,54,117,4,1.62
dfs,DRLU,4,12,13,27,12,0.442
dfs,DRUL,4,12,78651,78663,20,1148.287
dfs,LUDR,4,20,334707,334719,20,4933.243
dfs,LURD,4,18,276,290,20,4.203
dfs,RDLU,4,20,259652,259668,20,3904.624
dfs,RDUL,4,20,237108,237126,20,3433.189
dfs,ULDR,4,20,334329,334340,20,4939.721
dfs,ULRD,4,18,276,290,20,4.192
astr,hamm,4,4,5,12,4,0.282
astr,manh,4,4,5,12,4,0.493
bfs,DRLU,4,4,51,100,4,1.43
bfs,DRUL,4,4,51,100,4,1.382
bfs,LUDR,4,4,70,145,4,2.047
bfs,LURD,4,4,58,123,4,1.713
bfs,RDLU,4,4,39,78,4,1.092
bfs,RDUL,4,4,39,78,4,1.091
bfs,ULDR,4,4,70,145,4,1.972
bfs,ULRD,4,4,58,123,4,1.709
dfs,DRLU,4,18,325826,325846,20,4807.06
dfs,DRUL,4,18,543806,543824,20,8160.498
dfs,LUDR,4,16,1123,1136,20,15.405
dfs,LURD,4,18,293461,293474,20,4300.058
dfs,RDLU,4,20,78855,78875,20,1155.035
dfs,RDUL,4,20,51,73,20,1.029
dfs,ULDR,4,20,334299,334311,20,4935.635
dfs,ULRD,4,16,702,716,20,9.802
astr,hamm,4,4,5,11,4,0.27
astr,manh,4,4,5,11,4,0.469
bfs,DRLU,4,4,37,80,4,1.149
bfs,DRUL,4,4,42,92,4,1.269
bfs,LUDR,4,4,41,86,4,1.243
bfs,LURD,4,4,39,83,4,1.158
bfs,RDLU,4,4,35,77,4,1.08
bfs,RDUL,4,4,40,89,4,1.242
bfs,ULDR,4,4,46,98,4,1.369
bfs,ULRD,4,4,44,95,4,1.317
dfs,DRLU,4,18,357738,357753,20,5240.824
dfs,DRUL,4,18,181,198,20,3.077
dfs,LUDR,4,18,254,270,20,3.919
dfs,LURD,4,20,64655,64671,20,922.86
dfs,RDLU,4,18,357726,357742,20,5318.681
dfs,RDUL,4,18,169,187,20,2.536
dfs,ULDR,4,20,510464,510475,20,7645.768
dfs,ULRD,4,20,325657,325672,20,4840.481
astr,hamm,4,4,5,12,4,0.283
astr,manh,4,4,5,12,4,0.511
bfs,DRLU,4,4,41,81,4,1.169
bfs,DRUL,4,4,41,81,4,1.133
bfs,LUDR,4,4,60,126,4,1.797
bfs,LURD,4,4,68,142,4,1.932
bfs,RDLU,4,4,49,97,4,1.383
bfs,RDUL,4,4,49,97,4,1.349
bfs,ULDR,4,4,60,126,4,1.741
bfs,ULRD,4,4,68,142,4,1.939
dfs,DRLU,4,20,54,75,20,1.062
dfs,DRUL,4,20,78858,78877,20,1161.7
dfs,LUDR,4,16,763,776,20,10.623
dfs,LURD,4,20,312108,312119,20,4681.527
dfs,RDLU,4,20,542817,542836,20,8077.822
dfs,RDUL,4,20,324945,324967,20,4780.924
dfs,ULDR,4,20,293460,293474,20,4285.562
dfs,ULRD,4,16,1062,1076,20,14.558
astr,hamm,4,4,5,11,4,0.268
astr,manh,4,4,5,11,4,0.492
bfs,DRLU,4,4,35,76,4,1.106
bfs,DRUL,4,4,35,76,4,1.075
bfs,LUDR,4,4,56,120,4,1.72
bfs,LURD,4,4,46,99,4,1.366
bfs,RDLU,4,4,25,55,4,0.82
bfs,RDUL,4,4,25,55,4,0.793
bfs,ULDR,4,4,56,120,4,1.653
bfs,ULRD,4,4,46,99,4,1.371
dfs,DRLU,4,18,237102,237118,20,3420.241
dfs,DRUL,4,18,259646,259660,20,3861.684
dfs,LUDR,4,18,288,301,20,4.363
dfs,LURD,4,20,312138,312148,20,4689.374
dfs,RDLU,4,4,5,11,4,0.224
dfs,RDUL,4,4,5,11,4,0.21
dfs,ULDR,4,18,288,301,20,4.337
dfs,ULRD,4,20,305222,305235,20,4575.232
astr,hamm,4,4,5,11,4,0.269
astr,manh,4,4,5,11,4,0.469
bfs,DRLU,4,4,42,92,4,1.312
bfs,DRUL,4,4,37,80,4,1.121
bfs,LUDR,4,4,46,98,4,1.397
bfs,LURD,4,4,44,95,4,1.31
bfs,RDLU,4,4,40,89,4,1.278
bfs,RDUL,4,4,35,77,4,1.083
bfs,ULDR,4,4,41,86,4,1.208
bfs,ULRD,4,4,39,83,4,1.155
dfs,DRLU,4,18,181,198,20,2.974
dfs,DRUL,4,18,357738,357753,20,5306.601
dfs,LUDR,4,20,325660,325674,20,4808.399
dfs,LURD,4,20,488273,488283,20,7252.983
dfs,RDLU,4,18,169,187,20,2.636
dfs,RDUL,4,18,357726,357742,20,5234.427
dfs,ULDR,4,18,78990,79003,20,1166.307
dfs,ULRD,4,18,242,259,20,3.775
